left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,nose_tip_x,nose_tip_y,mouth_center_bottom_lip_x,mouth_center_bottom_lip_y
66.3423640449,38.5236134831,28.9308404494,35.5777725843,49.256844943800004,68.2759550562,47.783946067399995,85.3615820225
68.9126037736,31.409116981100002,29.652226415100003,33.0280754717,51.913358490600004,48.408452830200005,50.6988679245,79.5740377358
68.7089943925,40.371149158899996,27.1308201869,40.9406803738,44.5025226168,69.9884859813,45.9264269159,86.2210093458
65.3341757962,35.471877707,29.3664611465,37.7676840764,50.411373248400004,64.934766879,50.0287796178,74.8832407643
68.6348571429,29.999485714299997,31.094571428600002,29.6164285714,50.2474285714,51.4508571429,47.9485714286,84.3942857143
66.59189213479999,34.0420314607,27.858157303400002,38.7479730337,47.406022471899995,65.8978157303,49.216035955100004,76.03372584270001
64.8256,33.500647619,28.6425904762,36.6318780952,50.561127619,60.2899809524,50.561127619,78.3814704762
66.2718792453,37.6916830189,33.2163622642,40.0250083019,47.994022641499996,65.3027320755,49.549584905699994,82.80271698109999
65.8027082927,37.0659278049,26.883043902399997,38.2022868293,46.768999024399996,70.019777561,48.1894243902,79.11050926829999
62.1224489796,40.2368102796,30.3017384733,32.7267573698,31.971579743099998,55.60574452,35.6696119196,84.1934038436
62.946596026499996,31.6630887417,31.5169271523,40.2017801325,53.3178596026,61.4577059603,54.5895735099,69.2697218543
71.1106415094,35.9266415094,28.7474716981,34.8473358491,44.9370566038,51.846701886800005,46.5563773585,88.2741132075
66.4279652174,39.9742608696,31.197495652199997,35.8106434783,48.492452173900006,66.2369391304,47.8518956522,74.24389565220001
65.2071652174,40.6171826087,32.753321739099995,39.6237217391,49.311373913000004,68.4347130435,49.311373913000004,76.7137391304
41.0354617484,37.9218893375,12.7790461639,41.7281676308,20.5148532141,64.67113390819999,28.8523845903,83.0883335153
65.8333929412,41.5861458824,27.293534117600004,35.7603576471,44.3227858824,69.3707105882,43.426503529399994,79.6778729412
67.4437714286,34.6008,28.8264,31.618285714299997,45.1525714286,54.8513142857,45.3092571429,81.3809142857
66.4033432836,37.5383641791,31.8247164179,37.8585313433,48.794507462700004,60.9109970149,46.87307462689999,82.6825074627
67.79,36.84938,32.8726,39.15164,49.372,66.3949,52.4416,80.59208000000001
67.295311828,34.1491612903,30.0304516129,35.695483871,46.575483871,59.8172903226,48.430795698900006,80.38227956989999
63.6323350588,39.054912,32.7522409412,37.819708235300006,44.177878588199995,68.0821948235,44.177878588199995,79.50783247060001
67.6818086957,40.6441043478,31.141565217399997,37.4819617391,46.952208695699994,65.5898991304,46.952208695699994,74.0222608696
63.807660050600006,35.6316466313,29.7192060388,33.566452334299996,47.700307520200006,66.1070170534,45.64723064020001,80.9106894043
65.9301587302,40.315343915599996,33.4994708996,33.7608465609,43.7203325773,57.6825396827,42.5729402871,75.1957671956
66.9106285714,39.842125714299996,31.9516662857,39.4158034286,47.725837714300006,63.7165577143,46.0205211429,75.22743771430001
66.80183688310001,38.612509090900005,30.3616457143,39.5714618182,46.6638420779,65.1435303896,47.9424374026,76.0116779221
66.9296914286,31.876909714299998,39.0482742857,32.2298331429,54.9301028571,56.5819337143,54.9301028571,62.228818285699994
67.7045142857,38.6037428571,27.206228571399997,40.4961771429,52.9434857143,69.63984,52.9434857143,81.3730114286
63.488,34.6514666667,29.8213333333,34.3535333333,48.8346666667,53.79,47.6973333333,82.024
74.2816603774,31.6734792453,27.870792452800004,31.6734792453,49.996679245299994,45.7046943396,50.536452830200005,85.6398490566
65.0169302326,39.5538604651,27.615627906999997,39.374139534899996,46.496,58.4346046512,47.575069767399995,85.0470697674
68.0796545455,33.0967636364,27.1803818182,41.276618181799996,49.736945454499995,65.0725636364,51.7199454545,74.2438909091
67.9703225806,37.1780129032,29.5649032258,36.1400516129,48.29187096770001,50.94658064520001,47.21032258060001,86.65470967739999
65.8495214724,39.798596319,31.8955582822,37.9561030675,46.6353865031,59.2761717791,46.108858895699996,87.7027730061
65.2283533264,34.0529054371,28.754634678200002,36.2304408784,47.8786103751,60.120267954300004,48.385106714399996,74.8103368129
73.3881168539,36.484508764,25.5386858427,39.8097114607,57.8406903371,69.390094382,56.4155973034,82.0873348315
62.8056847059,30.6602428235,26.6673091765,38.3492668235,38.7134456471,57.5718776471,41.0201562353,70.8995011765
66.6060849231,37.3466436923,31.345152000000002,35.5228061538,45.6319015385,62.88042830770001,44.7199901538,82.33473969229999
70.848,35.1584,27.906671304299998,41.484521739099996,52.252855652200004,66.2141217391,53.97817043479999,77.1411478261
62.900322806999995,36.7626666667,29.8982231579,36.0604631579,40.7818891228,64.1473684211,40.7818891228,74.6799157895
44.1367771429,42.1351619048,14.120213333299999,46.6376380952,27.6276647619,69.5252571429,28.753287619,80.7814857143
66.4516718644,36.022535593200004,28.143473898299998,39.3902969492,52.98065898310001,69.2791322034,55.08549966100001,76.8566237288
68.1596684217,36.5250957312,34.0110969932,37.3874333935,68.5007722468,65.6327986036,53.028571428599996,89.32155844190001
67.6909879518,37.8586987952,31.035180722899998,38.1183614458,46.3737831325,51.1171084337,46.3737831325,82.313060241
67.0134447761,38.9979367164,31.3397874627,39.358280597,53.680907462700006,69.2665361194,54.0412370149,76.8336859701
65.43504,36.254736,27.515784000000004,38.323056,48.543791999999996,64.521888,48.888528,76.93185600000001
64.8641361702,33.3525106383,28.817906383,35.1369531915,47.376340425500004,64.0453446809,47.376340425500004,77.2503829787
67.7901767442,37.1645023256,28.3351813953,36.026344185999996,48.8213581395,63.7206697674,49.5800930233,78.136855814
69.7983698113,36.576845283000004,23.081750943400003,38.653132075500004,48.6893886792,69.4515018868,48.6893886792,82.9474113208
66.15648,38.044832,27.37776,39.660608,48.38288,65.10911999999999,49.19072,73.99584
64.72608000000001,39.0880457143,34.6741028571,39.0880457143,51.9767314286,62.309965714300006,51.5214171429,75.0592457143
60.9766481013,33.1556050633,29.3013265823,41.1513113924,49.2906531646,63.9083544304,57.2863594937,76.51698227850001
